2022-12-22 10:06:27 | Info | ScruffyDuck.AirportDesignEditor.Program.Main | 1 | **F20 ADE STARTED**
2022-12-22 10:06:27 | Info | ScruffyDuck.AirportDesignEditor.Program.Main | 1 | Target Version: F20
2022-12-22 10:06:27 | Info | ScruffyDuck.AirportDesignEditor.Program.Main | 1 | Check Multiple Instance: OK
2022-12-22 10:06:27 | Info | ScruffyDuck.AirportDesignEditor.Program.Main | 1 | Program Args
2022-12-22 10:06:28 | Info | ScruffyDuck.AirportDesignEditor.MainForm..ctor | 1 | Version From: Steam
2022-12-22 10:06:28 | Info | ScruffyDuck.AirportDesignEditor.Helpers.U.LoadCurrentF20Paths | 1 | Configs Path: C:\Users\toffe\AppData\Roaming\Microsoft Flight Simulator
2022-12-22 10:06:28 | Info | ScruffyDuck.AirportDesignEditor.Helpers.U.LoadCurrentF20Paths | 1 | Content Path: D:\Microsoft Flight Simulator
2022-12-22 10:06:28 | Info | ScruffyDuck.AirportDesignEditor.Helpers.U.LoadCurrentF20Paths | 1 | SDK Path: D:\MSFS SDK\
2022-12-22 10:06:28 | Info | ScruffyDuck.AirportDesignEditor.MainForm.LogVersions | 1 | ADE v20.19.7780  Tuesday, 20 April 2021
2022-12-22 10:06:30 | Info | ScruffyDuck.AirportDesignEditor.MainForm..ctor | 1 | ProKey Active
2022-12-22 10:06:32 | Info | ScruffyDuck.AirportDesignEditor.MainForm..ctor | 1 | Projects Root Folder: D:\FS Design Tools\ADE 2020 Alpha 19\F20
2022-12-22 10:06:32 | Info | ScruffyDuck.AirportDesignEditor.Helpers.U.LoadCurrentF20Paths | 1 | Configs Path: C:\Users\toffe\AppData\Roaming\Microsoft Flight Simulator
2022-12-22 10:06:32 | Info | ScruffyDuck.AirportDesignEditor.Helpers.U.LoadCurrentF20Paths | 1 | Content Path: D:\Microsoft Flight Simulator
2022-12-22 10:06:32 | Info | ScruffyDuck.AirportDesignEditor.Helpers.U.LoadCurrentF20Paths | 1 | SDK Path: D:\MSFS SDK\
2022-12-22 10:14:07 | Info | ScruffyDuck.AirportDesignEditor.MainForm.OnOpenF20ProjectMenuItem_Click | 1 | ** OPEN PROJECT **
2022-12-22 10:14:29 | Info | ScruffyDuck.AirportDesignEditor.Helpers.FS20Project.LogProperties | 1 | Project Name:WSSS_2022_RC5
2022-12-22 10:14:29 | Info | ScruffyDuck.AirportDesignEditor.Helpers.FS20ProjectReferenceData.LogProperties | 1 | Airport Ident: WSSS
2022-12-22 10:14:29 | Info | ScruffyDuck.AirportDesignEditor.Helpers.FS20ProjectReferenceData.LogProperties | 1 | Airport Name: Changi
2022-12-22 10:14:29 | Info | ScruffyDuck.AirportDesignEditor.Helpers.FS20ProjectReferenceData.LogProperties | 1 | Project Name: WSSS_2022_RC5
2022-12-22 10:14:29 | Info | ScruffyDuck.AirportDesignEditor.Helpers.FS20ProjectReferenceData.LogProperties | 1 | Creator: EXS_ZT
2022-12-22 10:14:29 | Info | ScruffyDuck.AirportDesignEditor.Helpers.FS20ProjectReferenceData.LogProperties | 1 | Source Path: 
2022-12-22 10:14:29 | Info | ScruffyDuck.AirportDesignEditor.Helpers.FS20ProjectReferenceData.LogProperties | 1 | Bgl Group Active: True
2022-12-22 10:14:29 | Info | ScruffyDuck.AirportDesignEditor.Helpers.FS20ProjectReferenceData.LogProperties | 1 | Art Proj Group Active: False
2022-12-22 10:14:29 | Info | ScruffyDuck.AirportDesignEditor.Helpers.FS20ProjectReferenceData.LogProperties | 1 | Materials Lib Group Active: False
2022-12-22 10:14:29 | Info | ScruffyDuck.AirportDesignEditor.Helpers.FS20ProjectReferenceData.LogProperties | 1 | Content Info Group Active: False
2022-12-22 10:14:29 | Info | ScruffyDuck.AirportDesignEditor.Helpers.FS20ProjectFolders.LogProperties | 1 | Root Folder: D:\GitHub\WSSS_EXS_ZT_MSFS\Source Files\WSSS_2022_RC5
2022-12-22 10:14:29 | Info | ScruffyDuck.AirportDesignEditor.Helpers.FS20ProjectFolders.LogProperties | 1 | Packages Folder: D:\GitHub\WSSS_EXS_ZT_MSFS\Source Files\WSSS_2022_RC5\Packages
2022-12-22 10:14:29 | Info | ScruffyDuck.AirportDesignEditor.Helpers.FS20ProjectFolders.LogProperties | 1 | Output Folder: D:\GitHub\WSSS_EXS_ZT_MSFS\Source Files\WSSS_2022_RC5\.
2022-12-22 10:14:29 | Info | ScruffyDuck.AirportDesignEditor.Helpers.FS20ProjectFolders.LogProperties | 1 | Temp Output Folder: D:\GitHub\WSSS_EXS_ZT_MSFS\Source Files\WSSS_2022_RC5\_PackageInt
2022-12-22 10:14:29 | Info | ScruffyDuck.AirportDesignEditor.Helpers.FS20ProjectFolders.LogProperties | 1 | Package Definitions Folder: D:\GitHub\WSSS_EXS_ZT_MSFS\Source Files\WSSS_2022_RC5\PackageDefinitions
2022-12-22 10:14:29 | Info | ScruffyDuck.AirportDesignEditor.Helpers.FS20ProjectFolders.LogProperties | 1 | Package Sources Folder: D:\GitHub\WSSS_EXS_ZT_MSFS\Source Files\WSSS_2022_RC5\PackageSources
2022-12-22 10:16:40 | Info | ScruffyDuck.AirportDesignEditor.XmlClasses.XmlU.CheckXmlStringAgainstSchema | 1 | **F20Schema Check**
2022-12-22 10:16:40 | Info | ScruffyDuck.AirportDesignEditor.XmlClasses.XmlU.CheckXmlStringAgainstSchema | 1 | Check Complete

2022-12-22 10:21:42 | Info | ScruffyDuck.AirportDesignEditor.MainForm.OnMainFormFormClosing | 1 | **F20 ADE CLOSING**
2022-12-22 10:27:27 | Info | ScruffyDuck.AirportDesignEditor.Program.Main | 1 | **F20 ADE STARTED**
2022-12-22 10:27:27 | Info | ScruffyDuck.AirportDesignEditor.Program.Main | 1 | Target Version: F20
2022-12-22 10:27:27 | Info | ScruffyDuck.AirportDesignEditor.Program.Main | 1 | Check Multiple Instance: OK
2022-12-22 10:27:27 | Info | ScruffyDuck.AirportDesignEditor.Program.Main | 1 | Program Args
2022-12-22 10:27:27 | Info | ScruffyDuck.AirportDesignEditor.MainForm..ctor | 1 | Version From: Steam
2022-12-22 10:27:27 | Info | ScruffyDuck.AirportDesignEditor.Helpers.U.LoadCurrentF20Paths | 1 | Configs Path: C:\Users\toffe\AppData\Roaming\Microsoft Flight Simulator
2022-12-22 10:27:27 | Info | ScruffyDuck.AirportDesignEditor.Helpers.U.LoadCurrentF20Paths | 1 | Content Path: D:\Microsoft Flight Simulator
2022-12-22 10:27:27 | Info | ScruffyDuck.AirportDesignEditor.Helpers.U.LoadCurrentF20Paths | 1 | SDK Path: D:\MSFS SDK\
2022-12-22 10:27:27 | Info | ScruffyDuck.AirportDesignEditor.MainForm.LogVersions | 1 | ADE v20.19.7780  Tuesday, 20 April 2021
2022-12-22 10:27:29 | Info | ScruffyDuck.AirportDesignEditor.MainForm..ctor | 1 | ProKey Active
2022-12-22 10:27:29 | Info | ScruffyDuck.AirportDesignEditor.MainForm..ctor | 1 | Projects Root Folder: D:\FS Design Tools\ADE 2020 Alpha 19\F20
2022-12-22 10:27:29 | Info | ScruffyDuck.AirportDesignEditor.Helpers.U.LoadCurrentF20Paths | 1 | Configs Path: C:\Users\toffe\AppData\Roaming\Microsoft Flight Simulator
2022-12-22 10:27:29 | Info | ScruffyDuck.AirportDesignEditor.Helpers.U.LoadCurrentF20Paths | 1 | Content Path: D:\Microsoft Flight Simulator
2022-12-22 10:27:29 | Info | ScruffyDuck.AirportDesignEditor.Helpers.U.LoadCurrentF20Paths | 1 | SDK Path: D:\MSFS SDK\
2022-12-22 10:28:32 | Info | ScruffyDuck.AirportDesignEditor.MainForm.OnOpenF20ProjectMenuItem_Click | 1 | ** OPEN PROJECT **
2022-12-22 10:28:51 | Info | ScruffyDuck.AirportDesignEditor.Helpers.FS20Project.LogProperties | 1 | Project Name:WSSS_2022_RC5
2022-12-22 10:28:51 | Info | ScruffyDuck.AirportDesignEditor.Helpers.FS20ProjectReferenceData.LogProperties | 1 | Airport Ident: WSSS
2022-12-22 10:28:51 | Info | ScruffyDuck.AirportDesignEditor.Helpers.FS20ProjectReferenceData.LogProperties | 1 | Airport Name: Changi
2022-12-22 10:28:51 | Info | ScruffyDuck.AirportDesignEditor.Helpers.FS20ProjectReferenceData.LogProperties | 1 | Project Name: WSSS_2022_RC5
2022-12-22 10:28:51 | Info | ScruffyDuck.AirportDesignEditor.Helpers.FS20ProjectReferenceData.LogProperties | 1 | Creator: EXS_ZT
2022-12-22 10:28:51 | Info | ScruffyDuck.AirportDesignEditor.Helpers.FS20ProjectReferenceData.LogProperties | 1 | Source Path: 
2022-12-22 10:28:51 | Info | ScruffyDuck.AirportDesignEditor.Helpers.FS20ProjectReferenceData.LogProperties | 1 | Bgl Group Active: True
2022-12-22 10:28:51 | Info | ScruffyDuck.AirportDesignEditor.Helpers.FS20ProjectReferenceData.LogProperties | 1 | Art Proj Group Active: False
2022-12-22 10:28:51 | Info | ScruffyDuck.AirportDesignEditor.Helpers.FS20ProjectReferenceData.LogProperties | 1 | Materials Lib Group Active: False
2022-12-22 10:28:51 | Info | ScruffyDuck.AirportDesignEditor.Helpers.FS20ProjectReferenceData.LogProperties | 1 | Content Info Group Active: False
2022-12-22 10:28:51 | Info | ScruffyDuck.AirportDesignEditor.Helpers.FS20ProjectFolders.LogProperties | 1 | Root Folder: D:\GitHub\WSSS_EXS_ZT_MSFS\Source Files\WSSS_2022_RC5
2022-12-22 10:28:51 | Info | ScruffyDuck.AirportDesignEditor.Helpers.FS20ProjectFolders.LogProperties | 1 | Packages Folder: D:\GitHub\WSSS_EXS_ZT_MSFS\Source Files\WSSS_2022_RC5\Packages
2022-12-22 10:28:51 | Info | ScruffyDuck.AirportDesignEditor.Helpers.FS20ProjectFolders.LogProperties | 1 | Output Folder: D:\GitHub\WSSS_EXS_ZT_MSFS\Source Files\WSSS_2022_RC5\.
2022-12-22 10:28:51 | Info | ScruffyDuck.AirportDesignEditor.Helpers.FS20ProjectFolders.LogProperties | 1 | Temp Output Folder: D:\GitHub\WSSS_EXS_ZT_MSFS\Source Files\WSSS_2022_RC5\_PackageInt
2022-12-22 10:28:51 | Info | ScruffyDuck.AirportDesignEditor.Helpers.FS20ProjectFolders.LogProperties | 1 | Package Definitions Folder: D:\GitHub\WSSS_EXS_ZT_MSFS\Source Files\WSSS_2022_RC5\PackageDefinitions
2022-12-22 10:28:51 | Info | ScruffyDuck.AirportDesignEditor.Helpers.FS20ProjectFolders.LogProperties | 1 | Package Sources Folder: D:\GitHub\WSSS_EXS_ZT_MSFS\Source Files\WSSS_2022_RC5\PackageSources
2022-12-22 10:30:21 | Info | ScruffyDuck.AirportDesignEditor.MainForm.SaveFS20ProjectData | 1 | **F20 PROJECT SAVE: D:\GitHub\WSSS_EXS_ZT_MSFS\Source Files\WSSS_2022_RC5\WSSS_2022_RC5.apf**
2022-12-22 10:31:41 | Exception | ScruffyDuck.AirportDesignEditor.XmlClasses.XmlU.ValidationEventHandler | 1 | d62ec5a0-067c-43c1-95d6-b50be317a284 | System.Exception | ScruffyDuck.AirportDesignEditor.XmlClasses.XmlU.ValidationEventHandler | The 'teeOffset2' attribute is invalid - The value '-10' is invalid according to its datatype 'stTeeOffset' - The MinInclusive constraint failed. |    at ScruffyDuck.AirportDesignEditor.XmlClasses.XmlU.ValidationEventHandler(Object sender, ValidationEventArgs e)
2022-12-22 10:31:41 | Exception | ScruffyDuck.AirportDesignEditor.XmlClasses.XmlU.ValidationEventHandler | 1 | c1658375-29e0-451c-8f69-97a991b38a58 | System.Exception | ScruffyDuck.AirportDesignEditor.XmlClasses.XmlU.ValidationEventHandler | The 'teeOffset3' attribute is invalid - The value '-15' is invalid according to its datatype 'stTeeOffset' - The MinInclusive constraint failed. |    at ScruffyDuck.AirportDesignEditor.XmlClasses.XmlU.ValidationEventHandler(Object sender, ValidationEventArgs e)
2022-12-22 10:31:41 | Exception | ScruffyDuck.AirportDesignEditor.XmlClasses.XmlU.ValidationEventHandler | 1 | bf84c7de-48fc-45ff-9ac4-cb177a8c9eb6 | System.Exception | ScruffyDuck.AirportDesignEditor.XmlClasses.XmlU.ValidationEventHandler | The 'teeOffset2' attribute is invalid - The value '-10' is invalid according to its datatype 'stTeeOffset' - The MinInclusive constraint failed. |    at ScruffyDuck.AirportDesignEditor.XmlClasses.XmlU.ValidationEventHandler(Object sender, ValidationEventArgs e)
2022-12-22 10:31:41 | Exception | ScruffyDuck.AirportDesignEditor.XmlClasses.XmlU.ValidationEventHandler | 1 | b724cdb4-7403-46e6-8bf6-712548e36abf | System.Exception | ScruffyDuck.AirportDesignEditor.XmlClasses.XmlU.ValidationEventHandler | The 'teeOffset3' attribute is invalid - The value '-15' is invalid according to its datatype 'stTeeOffset' - The MinInclusive constraint failed. |    at ScruffyDuck.AirportDesignEditor.XmlClasses.XmlU.ValidationEventHandler(Object sender, ValidationEventArgs e)
2022-12-22 10:31:41 | Exception | ScruffyDuck.AirportDesignEditor.XmlClasses.XmlU.ValidationEventHandler | 1 | 1ddb7207-8dad-462e-9d92-9988785b7f63 | System.Exception | ScruffyDuck.AirportDesignEditor.XmlClasses.XmlU.ValidationEventHandler | The 'teeOffset2' attribute is invalid - The value '-10' is invalid according to its datatype 'stTeeOffset' - The MinInclusive constraint failed. |    at ScruffyDuck.AirportDesignEditor.XmlClasses.XmlU.ValidationEventHandler(Object sender, ValidationEventArgs e)
2022-12-22 10:31:41 | Exception | ScruffyDuck.AirportDesignEditor.XmlClasses.XmlU.ValidationEventHandler | 1 | 26927340-bb75-4f20-9f15-8d88b9861bbe | System.Exception | ScruffyDuck.AirportDesignEditor.XmlClasses.XmlU.ValidationEventHandler | The 'teeOffset3' attribute is invalid - The value '-15' is invalid according to its datatype 'stTeeOffset' - The MinInclusive constraint failed. |    at ScruffyDuck.AirportDesignEditor.XmlClasses.XmlU.ValidationEventHandler(Object sender, ValidationEventArgs e)
2022-12-22 10:31:41 | Exception | ScruffyDuck.AirportDesignEditor.XmlClasses.XmlU.ValidationEventHandler | 1 | c0eacbbc-1c62-409b-b486-ca9d131aba40 | System.Exception | ScruffyDuck.AirportDesignEditor.XmlClasses.XmlU.ValidationEventHandler | The 'teeOffset2' attribute is invalid - The value '-10' is invalid according to its datatype 'stTeeOffset' - The MinInclusive constraint failed. |    at ScruffyDuck.AirportDesignEditor.XmlClasses.XmlU.ValidationEventHandler(Object sender, ValidationEventArgs e)
2022-12-22 10:31:41 | Exception | ScruffyDuck.AirportDesignEditor.XmlClasses.XmlU.ValidationEventHandler | 1 | 84fa92e7-571f-42a3-9071-3d6afa634430 | System.Exception | ScruffyDuck.AirportDesignEditor.XmlClasses.XmlU.ValidationEventHandler | The 'teeOffset3' attribute is invalid - The value '-15' is invalid according to its datatype 'stTeeOffset' - The MinInclusive constraint failed. |    at ScruffyDuck.AirportDesignEditor.XmlClasses.XmlU.ValidationEventHandler(Object sender, ValidationEventArgs e)
2022-12-22 10:31:41 | Exception | ScruffyDuck.AirportDesignEditor.XmlClasses.XmlU.ValidationEventHandler | 1 | 6d4b86ae-72db-4e29-9c52-a3e5e84519b3 | System.Exception | ScruffyDuck.AirportDesignEditor.XmlClasses.XmlU.ValidationEventHandler | The 'teeOffset2' attribute is invalid - The value '-10' is invalid according to its datatype 'stTeeOffset' - The MinInclusive constraint failed. |    at ScruffyDuck.AirportDesignEditor.XmlClasses.XmlU.ValidationEventHandler(Object sender, ValidationEventArgs e)
2022-12-22 10:31:41 | Exception | ScruffyDuck.AirportDesignEditor.XmlClasses.XmlU.ValidationEventHandler | 1 | e936f76d-e9a4-4ae0-bcae-2b6b0e479974 | System.Exception | ScruffyDuck.AirportDesignEditor.XmlClasses.XmlU.ValidationEventHandler | The 'teeOffset3' attribute is invalid - The value '-15' is invalid according to its datatype 'stTeeOffset' - The MinInclusive constraint failed. |    at ScruffyDuck.AirportDesignEditor.XmlClasses.XmlU.ValidationEventHandler(Object sender, ValidationEventArgs e)
2022-12-22 10:31:41 | Exception | ScruffyDuck.AirportDesignEditor.XmlClasses.XmlU.ValidationEventHandler | 1 | 8751ee86-4593-4fdb-9a32-526358e2699d | System.Exception | ScruffyDuck.AirportDesignEditor.XmlClasses.XmlU.ValidationEventHandler | The 'teeOffset2' attribute is invalid - The value '-10' is invalid according to its datatype 'stTeeOffset' - The MinInclusive constraint failed. |    at ScruffyDuck.AirportDesignEditor.XmlClasses.XmlU.ValidationEventHandler(Object sender, ValidationEventArgs e)
2022-12-22 10:31:41 | Exception | ScruffyDuck.AirportDesignEditor.XmlClasses.XmlU.ValidationEventHandler | 1 | 5ca0571e-989b-4b70-a0b6-133a8fe4b419 | System.Exception | ScruffyDuck.AirportDesignEditor.XmlClasses.XmlU.ValidationEventHandler | The 'teeOffset3' attribute is invalid - The value '-15' is invalid according to its datatype 'stTeeOffset' - The MinInclusive constraint failed. |    at ScruffyDuck.AirportDesignEditor.XmlClasses.XmlU.ValidationEventHandler(Object sender, ValidationEventArgs e)
2022-12-22 10:31:41 | Exception | ScruffyDuck.AirportDesignEditor.XmlClasses.XmlU.ValidationEventHandler | 1 | bca76d02-da65-4cb6-8615-a8c95dd243f0 | System.Exception | ScruffyDuck.AirportDesignEditor.XmlClasses.XmlU.ValidationEventHandler | The 'teeOffset2' attribute is invalid - The value '-10' is invalid according to its datatype 'stTeeOffset' - The MinInclusive constraint failed. |    at ScruffyDuck.AirportDesignEditor.XmlClasses.XmlU.ValidationEventHandler(Object sender, ValidationEventArgs e)
2022-12-22 10:31:41 | Exception | ScruffyDuck.AirportDesignEditor.XmlClasses.XmlU.ValidationEventHandler | 1 | 1104677f-213e-4c41-81bf-41344a2782e7 | System.Exception | ScruffyDuck.AirportDesignEditor.XmlClasses.XmlU.ValidationEventHandler | The 'teeOffset3' attribute is invalid - The value '-15' is invalid according to its datatype 'stTeeOffset' - The MinInclusive constraint failed. |    at ScruffyDuck.AirportDesignEditor.XmlClasses.XmlU.ValidationEventHandler(Object sender, ValidationEventArgs e)
2022-12-22 10:31:41 | Exception | ScruffyDuck.AirportDesignEditor.XmlClasses.XmlU.ValidationEventHandler | 1 | 2a164cfb-fc08-455a-b7f4-be1b23554924 | System.Exception | ScruffyDuck.AirportDesignEditor.XmlClasses.XmlU.ValidationEventHandler | The 'teeOffset2' attribute is invalid - The value '-10' is invalid according to its datatype 'stTeeOffset' - The MinInclusive constraint failed. |    at ScruffyDuck.AirportDesignEditor.XmlClasses.XmlU.ValidationEventHandler(Object sender, ValidationEventArgs e)
2022-12-22 10:31:41 | Exception | ScruffyDuck.AirportDesignEditor.XmlClasses.XmlU.ValidationEventHandler | 1 | 0935ad7c-6b9e-41ce-92d8-edb1bc6bd910 | System.Exception | ScruffyDuck.AirportDesignEditor.XmlClasses.XmlU.ValidationEventHandler | The 'teeOffset3' attribute is invalid - The value '-15' is invalid according to its datatype 'stTeeOffset' - The MinInclusive constraint failed. |    at ScruffyDuck.AirportDesignEditor.XmlClasses.XmlU.ValidationEventHandler(Object sender, ValidationEventArgs e)
2022-12-22 10:31:41 | Exception | ScruffyDuck.AirportDesignEditor.XmlClasses.XmlU.ValidationEventHandler | 1 | 504b371e-8ce1-48a7-9ddf-be53a356f4a3 | System.Exception | ScruffyDuck.AirportDesignEditor.XmlClasses.XmlU.ValidationEventHandler | The 'teeOffset2' attribute is invalid - The value '-10' is invalid according to its datatype 'stTeeOffset' - The MinInclusive constraint failed. |    at ScruffyDuck.AirportDesignEditor.XmlClasses.XmlU.ValidationEventHandler(Object sender, ValidationEventArgs e)
2022-12-22 10:31:41 | Exception | ScruffyDuck.AirportDesignEditor.XmlClasses.XmlU.ValidationEventHandler | 1 | d98f145f-f2c5-43d8-843b-68f69fe36b81 | System.Exception | ScruffyDuck.AirportDesignEditor.XmlClasses.XmlU.ValidationEventHandler | The 'teeOffset3' attribute is invalid - The value '-15' is invalid according to its datatype 'stTeeOffset' - The MinInclusive constraint failed. |    at ScruffyDuck.AirportDesignEditor.XmlClasses.XmlU.ValidationEventHandler(Object sender, ValidationEventArgs e)
2022-12-22 10:31:41 | Exception | ScruffyDuck.AirportDesignEditor.XmlClasses.XmlU.ValidationEventHandler | 1 | d3a1142b-1f42-4c0d-846b-b4d578df7e42 | System.Exception | ScruffyDuck.AirportDesignEditor.XmlClasses.XmlU.ValidationEventHandler | The 'teeOffset2' attribute is invalid - The value '-10' is invalid according to its datatype 'stTeeOffset' - The MinInclusive constraint failed. |    at ScruffyDuck.AirportDesignEditor.XmlClasses.XmlU.ValidationEventHandler(Object sender, ValidationEventArgs e)
2022-12-22 10:31:41 | Exception | ScruffyDuck.AirportDesignEditor.XmlClasses.XmlU.ValidationEventHandler | 1 | dcd1e96a-65c6-412b-9ad2-587eef9a457d | System.Exception | ScruffyDuck.AirportDesignEditor.XmlClasses.XmlU.ValidationEventHandler | The 'teeOffset3' attribute is invalid - The value '-15' is invalid according to its datatype 'stTeeOffset' - The MinInclusive constraint failed. |    at ScruffyDuck.AirportDesignEditor.XmlClasses.XmlU.ValidationEventHandler(Object sender, ValidationEventArgs e)
2022-12-22 10:31:41 | Exception | ScruffyDuck.AirportDesignEditor.XmlClasses.XmlU.ValidationEventHandler | 1 | ad0e0d2c-e851-4c05-bd4f-f3e86b85d1a2 | System.Exception | ScruffyDuck.AirportDesignEditor.XmlClasses.XmlU.ValidationEventHandler | The 'teeOffset2' attribute is invalid - The value '-10' is invalid according to its datatype 'stTeeOffset' - The MinInclusive constraint failed. |    at ScruffyDuck.AirportDesignEditor.XmlClasses.XmlU.ValidationEventHandler(Object sender, ValidationEventArgs e)
2022-12-22 10:31:41 | Exception | ScruffyDuck.AirportDesignEditor.XmlClasses.XmlU.ValidationEventHandler | 1 | daf6a826-3d0a-4a1e-ba43-0fb7bfe1319b | System.Exception | ScruffyDuck.AirportDesignEditor.XmlClasses.XmlU.ValidationEventHandler | The 'teeOffset3' attribute is invalid - The value '-15' is invalid according to its datatype 'stTeeOffset' - The MinInclusive constraint failed. |    at ScruffyDuck.AirportDesignEditor.XmlClasses.XmlU.ValidationEventHandler(Object sender, ValidationEventArgs e)
2022-12-22 10:31:41 | Exception | ScruffyDuck.AirportDesignEditor.XmlClasses.XmlU.ValidationEventHandler | 1 | d2c232cd-af05-4b77-a04a-478dc0f4f341 | System.Exception | ScruffyDuck.AirportDesignEditor.XmlClasses.XmlU.ValidationEventHandler | The 'teeOffset2' attribute is invalid - The value '-10' is invalid according to its datatype 'stTeeOffset' - The MinInclusive constraint failed. |    at ScruffyDuck.AirportDesignEditor.XmlClasses.XmlU.ValidationEventHandler(Object sender, ValidationEventArgs e)
